time,line_0,line_1,line_2,line_3,line_4,line_5,line_6,line_7,line_8,line_9,line_10,line_11,line_12,line_13,line_14
2025-09-19 00:00:00,26.333732784807367,26.649517834032267,10.428613061912111,7.790858141022991,3.3858988985804266,0.5785277258972337,9.235985282837664,5.395378404541223,2.0147844364766434,13.185153110554701,2.780572630959803,2.62904421854216,0.09127610529611184,0.1861967779534949,0.03831487565223526
2025-09-19 01:00:00,24.958851795746167,25.261530956359206,9.890974214874985,7.389104792183135,3.2126540983236356,0.5697782843413977,8.755596603972197,5.117231363722111,1.9107253732186253,12.495785188570618,2.63975932387105,2.4969502437243776,0.09141225325884932,0.18648380628679778,0.038334708448607
2025-09-19 02:00:00,28.79490511874922,29.13089314431126,11.389397675045348,8.508837937273983,3.6953715070567714,0.5971418697609796,10.094411164816124,5.8923989692175684,2.200796993549453,14.417512104931873,3.0313951774957366,2.8643242402880786,0.09103222234029391,0.18568266141658046,0.03827936554337849
2025-09-19 03:00:00,31.26695918081425,31.6199017906252,12.352733627206616,9.228757789254944,4.00554340602799,0.6416252102740164,10.95510492046313,6.390723620703927,2.3873695023458095,15.653631705497354,3.2818545802871935,3.099252415716509,0.09078692034523511,0.18516560387578052,0.038243672485325265
2025-09-19 04:00:00,30.1246135163909,30.47008344421762,11.907757599676295,8.896214518062129,3.862284388139211,0.6187863077996787,10.55753865661925,6.160541374818552,2.3011815305076766,15.082596839887632,3.166291227553815,2.990856448264455,0.09090032558122693,0.1854046378421528,0.03826017057680986
2025-09-19 05:00:00,34.40560511718579,34.77640944274522,13.573946210784534,10.141437641079202,4.398618309859613,0.7042924372802796,12.046253804835525,7.022472157512201,2.623975699064544,17.22127064098418,3.597905520638794,3.395693042088438,0.09047481397197664,0.18450780462230193,0.038198297405703005
2025-09-19 06:00:00,40.106675173912585,40.50244334591239,15.788227901175278,11.79640648609911,5.111101160486154,0.8178907810852608,14.025055896045766,8.168156342789231,3.053229769113722,20.065251289115054,4.166870208634823,3.9293329321558623,0.089905599967694,0.18330832060464483,0.03811567049541537
2025-09-19 07:00:00,43.185654463379805,43.59201483604972,16.982525576774332,12.68908914624285,5.495310602629638,0.8791546791610874,15.092607421754723,8.78625698891397,3.2848791230429866,21.599947940243432,4.471567455751515,4.215105444337836,0.08959680400945398,0.18265770951356042,0.03807092384747925
2025-09-19 08:00:00,47.11593690710192,47.533676086176676,18.50582106167262,13.827737486306802,5.985317856185201,0.9572948455169656,16.454565420758236,9.574832810412467,3.580468027180535,23.558141078117966,4.857980244201355,4.577513876081147,0.08920112897904237,0.18182415260369883,0.03801367800480859
2025-09-19 09:00:00,48.91973977693458,49.34204305734584,19.20455265350174,14.350052619166306,6.2100737820680525,0.993138610458343,17.07942455312878,9.93663469414324,3.7161009381209356,24.456623895986553,5.034390814444786,4.742964607637554,0.0890189555183242,0.18144041069332761,0.03798735800875789
2025-09-19 10:00:00,53.815407286739024,54.2484254410525,21.09994581146715,15.766957808973133,6.819741400746225,1.0903760341272728,18.774883615080157,10.918355287832924,4.0841702935323365,26.894684589150547,5.510260870524024,5.189268682865904,0.0885226538111083,0.18039508506745888,0.03791578058399667
2025-09-19 11:00:00,55.14911488079137,55.58469034077576,21.6160712920512,16.15280428551831,6.985757514687964,1.1168565839469742,19.236686306618996,11.185759918535407,4.184435236638211,27.55878587485434,5.6391642456539595,5.310163064466873,0.08838697122375387,0.1801093351298796,0.0378962464626387
2025-09-19 12:00:00,54.597131009887065,55.03166490051255,21.402472511278646,15.993120718064466,6.917051550165715,1.1058974592297235,19.045562611262547,11.07509026466444,4.14293857851748,27.28393668396701,5.585852907792777,5.260164055589158,0.0884431512827331,0.18022764985177064,0.03790433281213362
2025-09-19 13:00:00,55.66975457991852,56.106291412727806,21.817527109010484,16.303410991685872,7.050557769800476,1.1271928719124753,19.416953120399224,11.290143443498158,4.223575376303034,27.818023683283855,5.689399005620928,5.357276649296091,0.08833394913152312,0.17999767293444988,0.03788861708817919
2025-09-19 14:00:00,53.2048494328855,53.63664937196164,20.863638040920225,15.590300455929604,6.743731272114201,1.0782522929484395,18.56346507330878,10.79593547556167,4.0382694412486115,26.590655249173125,5.451145272428018,5.13382603138501,0.08858469957143705,0.18052575857285524,0.037924718305089394
2025-09-19 15:00:00,48.91059018445449,49.33287123569127,19.20100896567837,14.347403613557805,6.208933918502949,0.9929568224444849,17.076255296718884,9.934799639042527,3.7154129875629183,24.45206673576515,5.033497461114064,4.742126756724541,0.08901988049208334,0.18144235908435113,0.037987491585998116
2025-09-19 16:00:00,47.67821045251058,48.09741253816516,18.723650559813684,13.990567823406561,6.055385913191223,0.968469027441461,16.649355906622752,9.687618598552136,3.6227484015228817,23.83822535046641,4.913032761309229,4.629146205402331,0.08914438206929409,0.18170461477327512,0.0380054767794411
2025-09-19 17:00:00,42.26011800530872,42.66346735576041,16.623617906359815,12.420818112084833,5.379852678007828,0.8607439596559839,14.77176708809278,8.600492846914968,3.215255194922653,21.138690579909795,4.380161102440329,4.1293767170386335,0.08968973423638457,0.18285349941170975,0.03808438385309934
2025-09-19 18:00:00,41.18164723725886,41.58130540943073,16.205302728635324,12.108146385669391,5.245279858758152,0.8392856961418116,14.39784462813586,8.383995782531244,3.1341168418675993,20.601142462019098,4.27345071993946,4.029294163040634,0.0897979039163411,0.1830814046051562,0.038100057950842245
