Datetime,Bus_1_Load_MW,Bus_2_Load_MW,Bus_3_Load_MW,Bus_4_Load_MW,Bus_5_Load_MW,Bus_6_Load_MW,Bus_7_Load_MW,Bus_8_Load_MW,Bus_9_Load_MW,Bus_10_Load_MW,Bus_11_Load_MW,Bus_12_Load_MW,Bus_13_Load_MW,Bus_14_Load_MW
2026-01-01 00:00:00+01:00,8.8267936223,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.2353718273,0.017,0.10427499999999999
2026-01-01 01:00:00+01:00,8.833686605599999,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.1807494336,0.017,0.10427499999999999
2026-01-01 02:00:00+01:00,8.7863700024,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.2204275977,0.017,0.10427499999999999
2026-01-01 03:00:00+01:00,8.7727859899,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.168103829,0.017,0.10427499999999999
2026-01-01 04:00:00+01:00,8.7545511998,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.1621576578,0.017,0.10427499999999999
2026-01-01 05:00:00+01:00,9.762571945,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.600939198499999,0.017,0.10427499999999999
2026-01-01 06:00:00+01:00,10.095451326,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.790104037999999,0.017,0.10427499999999999
2026-01-01 07:00:00+01:00,10.123780295,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.762523217599998,0.017,0.10427499999999999
2026-01-01 08:00:00+01:00,10.185239595,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.7977791967,0.017,0.10427499999999999
2026-01-01 09:00:00+01:00,10.146101432,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.79841386,0.017,0.10427499999999999
2026-01-01 10:00:00+01:00,10.186090221999999,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.7868754545,0.017,0.10427499999999999
2026-01-01 11:00:00+01:00,9.870344227,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.6636069495,0.017,0.10427499999999999
2026-01-01 12:00:00+01:00,9.840757255,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.6695688436,0.017,0.10427499999999999
2026-01-01 13:00:00+01:00,9.889556021999999,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.695610654700001,0.017,0.10427499999999999
2026-01-01 14:00:00+01:00,9.915626372,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.7193014163,0.017,0.10427499999999999
2026-01-01 15:00:00+01:00,9.9291099,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.7085222732,0.017,0.10427499999999999
2026-01-01 16:00:00+01:00,10.390680383000001,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.8946403988,0.017,0.10427499999999999
2026-01-01 17:00:00+01:00,10.369661984,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.9151357544,0.017,0.10427499999999999
2026-01-01 18:00:00+01:00,10.396851870999999,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.8866008717,0.017,0.10427499999999999
2026-01-01 19:00:00+01:00,10.334395202,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.9093816067,0.017,0.10427499999999999
2026-01-01 20:00:00+01:00,10.314105471,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.8905572092,0.017,0.10427499999999999
2026-01-01 21:00:00+01:00,9.969911062,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.692660051399999,0.017,0.10427499999999999
2026-01-01 22:00:00+01:00,9.958524342,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.7272258142,0.017,0.10427499999999999
2026-01-01 23:00:00+01:00,9.901776874000001,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.6886759502,0.017,0.10427499999999999
2026-01-02 00:00:00+01:00,8.8159416953,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.262372087100001,0.017,0.10427499999999999
2026-01-02 01:00:00+01:00,8.8308625913,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.2256177747,0.017,0.10427499999999999
2026-01-02 02:00:00+01:00,8.7895883216,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.1582514541,0.017,0.10427499999999999
2026-01-02 03:00:00+01:00,8.743322857999999,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.1939330246,0.017,0.10427499999999999
2026-01-02 04:00:00+01:00,8.7776262959,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.1578676311,0.017,0.10427499999999999
2026-01-02 05:00:00+01:00,9.806463250999998,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.6267378994,0.017,0.10427499999999999
2026-01-02 06:00:00+01:00,10.131018629,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.7875672028,0.017,0.10427499999999999
2026-01-02 07:00:00+01:00,10.153415484,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.788608201999999,0.017,0.10427499999999999
2026-01-02 08:00:00+01:00,10.150911473999999,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.8019058532,0.017,0.10427499999999999
2026-01-02 09:00:00+01:00,10.186544354999999,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.803520004200001,0.017,0.10427499999999999
2026-01-02 10:00:00+01:00,10.173819377000001,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.7942597494,0.017,0.10427499999999999
2026-01-02 11:00:00+01:00,9.834741824,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.6283410094,0.017,0.10427499999999999
2026-01-02 12:00:00+01:00,9.859539387,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.6668424588,0.017,0.10427499999999999
2026-01-02 13:00:00+01:00,9.880127745,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.6779179942,0.017,0.10427499999999999
2026-01-02 14:00:00+01:00,9.921503989,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.6967472471,0.017,0.10427499999999999
2026-01-02 15:00:00+01:00,9.953680216,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.6992861244,0.017,0.10427499999999999
2026-01-02 16:00:00+01:00,10.34168798,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.853342545799999,0.017,0.10427499999999999
2026-01-02 17:00:00+01:00,10.332158809000001,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.8862166214,0.017,0.10427499999999999
2026-01-02 18:00:00+01:00,10.396049170000001,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.914073390999999,0.017,0.10427499999999999
2026-01-02 19:00:00+01:00,10.342794024,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.904415354,0.017,0.10427499999999999
2026-01-02 20:00:00+01:00,10.350084999,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.9156633884,0.017,0.10427499999999999
2026-01-02 21:00:00+01:00,9.966489482999998,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.725657179799999,0.017,0.10427499999999999
2026-01-02 22:00:00+01:00,9.973169517,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.7291669488,0.017,0.10427499999999999
2026-01-02 23:00:00+01:00,9.937671207000001,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.684884019,0.017,0.10427499999999999
2026-01-03 00:00:00+01:00,8.8261817382,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.2408914261,0.017,0.10427499999999999
2026-01-03 01:00:00+01:00,8.8059337531,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.2182115184,0.017,0.10427499999999999
2026-01-03 02:00:00+01:00,8.8019069879,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.2099542916,0.017,0.10427499999999999
2026-01-03 03:00:00+01:00,8.8134574397,0.0,0.138225,0.215825,0.36375,0.27402499999999996,0.03825,0.293425,0.286875,0.23765,0.16490000000000002,8.1758500415,0.017,0.10427499999999999
