date,Consumption_kWh_Vehicle_0,Consumption_kWh_Vehicle_1,Consumption_kWh_Vehicle_10,Consumption_kWh_Vehicle_11,Consumption_kWh_Vehicle_12,Consumption_kWh_Vehicle_13,Consumption_kWh_Vehicle_14,Consumption_kWh_Vehicle_15,Consumption_kWh_Vehicle_16,Consumption_kWh_Vehicle_17,Consumption_kWh_Vehicle_18,Consumption_kWh_Vehicle_19,Consumption_kWh_Vehicle_2,Consumption_kWh_Vehicle_20,Consumption_kWh_Vehicle_21,Consumption_kWh_Vehicle_22,Consumption_kWh_Vehicle_23,Consumption_kWh_Vehicle_3,Consumption_kWh_Vehicle_4,Consumption_kWh_Vehicle_5,Consumption_kWh_Vehicle_6,Consumption_kWh_Vehicle_7,Consumption_kWh_Vehicle_8,Consumption_kWh_Vehicle_9
2026-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 05:00:00,0.0,0.0,2.566491246878698,0.0,0.0,0.0,0.0,0.0,1.3482786548992969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7969071457165238,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 06:00:00,0.0,1.6678246193769914,1.9103789238302027,2.6137366451148227,2.731528386358882,1.561826742580698,0.0,0.0,1.024846866628432,2.4263288699759396,3.4029858390385144,2.8856094290350027,0.0,0.0,0.0,0.0,0.0,2.6550845383672224,0.0,0.0,0.6608106118237435,0.0,3.0156735604485516,0.0
2026-01-01 07:00:00,1.3138556125604879,1.723875973616315,2.651237186655889,1.6591416526204108,3.0979834419415764,1.1418638060032276,2.721471550302092,3.4634677852006845,1.7929399617945874,0.8455789340055377,1.997333182311942,3.785916718503892,2.0710139943766266,1.8180417626830334,1.163984004372722,3.437873779889153,1.0308172154467494,2.6209835351421473,2.0998799684029814,1.3805877512927829,2.283550473292939,0.0,1.2109606622565663,2.1561252891816176
2026-01-01 08:00:00,3.3458967828745734,0.6799683970760864,1.3710722864772023,1.5381842739403617,3.956268180850546,2.37436255557135,3.99545635185388,2.4847480735910628,1.878098625685813,2.7041773275983485,3.2985207966179555,2.620942949699219,1.2414267664512473,2.570676964735597,3.0633795588229558,3.437873779889153,4.042034783915264,1.8417618732286585,1.245796365523728,0.5664886392320001,2.837939992878039,2.913328005332466,1.5435671569263432,0.7784886958328081
2026-01-01 09:00:00,2.4362176257220076,1.1990020623330881,2.759115974244995,2.6137366451148227,2.459222933187195,1.3589736791181146,3.2157012312774578,4.275332940583687,1.6111549816073278,3.8051052030249197,3.6356437254813154,1.3304790780408813,2.1558074581656856,1.5450049580987375,5.237928019677248,2.45434519802096,1.9972591222290865,0.7369437700074684,1.4651283247711844,0.6094245817566591,1.4681524237295476,0.9811424445427324,1.1501769989768502,3.292294221682349
2026-01-01 10:00:00,1.0501363059607964,1.5800588531834863,2.7225020930585986,0.5808303655810718,3.956268180850546,1.0362348311171272,1.8811153160692906,1.4581210115793781,2.07699783347414,1.6009829861516327,3.387746976697997,2.5948358207663227,2.4944869472285642,2.1699037916600687,4.012246769630597,3.062431260986164,2.898168366601096,0.7369437700074684,0.591118580068174,1.4011092668440095,0.6608106118237435,3.946319465154499,1.9881529195165728,1.6198699611465313
2026-01-01 11:00:00,2.184222877563508,0.6799683970760864,2.12236937295228,1.374008064172575,3.2986727474824167,1.6701261232204863,2.851327236283879,4.275332940583687,1.0975915908538652,3.042162730099711,2.257077687064219,0.8413148263341983,3.3570824474918286,0.6797863670784002,1.163984004372722,1.3687598308502584,3.993557929810063,2.1998538342392617,1.6052886585039274,1.8296942818981394,2.303193265861932,3.1274243638050305,3.1695567122020534,2.529022400217223
2026-01-01 12:00:00,0.0,0.0,2.079653333018271,1.2721052126235248,0.0,0.0,0.0,2.524219806302004,1.1055133640982788,0.0,0.0,0.0,1.2327910251831324,0.0,2.2086235932444938,0.984205500283889,0.0,0.0,1.2105538939750782,1.66611261049258,0.0,1.8761450060175362,2.5835979585005466,1.2970059888638168
2026-01-01 13:00:00,0.0,0.7419912546782857,0.0,2.644396731037547,4.282996631740898,3.520105601279866,1.0280706402431035,1.6810228972698196,0.9868125661875802,0.8142611957090363,0.0,2.6185946923525854,0.0,0.6179876064349091,0.0,1.3410967615621916,1.3807886500581448,3.118789864181463,1.3379383099273048,0.0,1.7550425000734389,3.6204482753942036,1.5654590534699055,2.63462012756267
2026-01-01 14:00:00,0.7653583538283393,1.6923877772672515,4.049695074159653,1.7213229900397051,2.554263095258314,4.857350770861535,3.2237668016176118,2.7565947934125075,3.800527614800009,2.384365597844461,1.5861725157623738,2.425939080405528,0.6863368559316627,2.754612345892174,2.0301988964498894,2.263310339584281,2.2022289696135964,2.6922321975286505,1.537740413114806,1.3369768299248104,1.6881165655253376,2.1276014797355423,2.5146968632548568,1.4021733685320452
2026-01-01 15:00:00,0.7634821869702646,0.6799683970760864,2.507738149562835,2.8147933101236555,3.123114374439711,3.1471119255075535,2.0482299424160377,1.8797727309140533,0.8445616921777799,2.003331824997744,2.6749664613298343,1.746082991158258,0.6863368559316627,2.082140443692327,2.999576322947964,1.8916139492265351,3.074340075429583,1.0988450411755768,0.6553211793785626,0.46881818419200016,2.422863820957999,2.911097305656489,1.703976365238617,3.3630711659977304
2026-01-01 16:00:00,1.337752702486902,0.8311752879530512,2.703696374407984,2.3689093090456512,1.8718266670037784,3.54533332824732,2.3412756845069054,3.4836046182533744,3.2418999928500902,1.8406186420855377,2.265428766203209,1.3428356773167827,1.4823291473114408,1.2553139129836044,3.4117515634592945,2.6456893460187416,2.435096320189787,2.395270937756968,0.5035454570951112,0.756225547816341,2.7357559329502976,2.367033856079328,2.0354705826820507,1.9559556695448037
2026-01-01 17:00:00,0.5944831726731219,0.9843850055247251,2.664172002046844,1.2554706167535568,2.455652972048188,4.309024689720893,4.626317881093965,1.4914029755537248,1.1093607664607017,0.8142611957090363,3.2315236461917145,3.1449307849304993,2.101805036068149,1.1149195950527353,2.3963209790034177,2.2100706993314514,3.44313559271638,4.054109209329984,1.9369513467715824,0.5845284706148611,0.6695640313676308,1.2854071029726901,2.631696396861329,2.1764520429171226
2026-01-01 18:00:00,0.5944831726731219,2.397531541363181,2.680584601336053,2.1947242209470765,2.515106597044974,3.3797897309789797,0.0,0.9874626653955647,1.8010337295726653,2.010438251886879,1.1022546416935721,1.9880991225640166,1.5273862206355044,1.1395873498678613,2.672924929874215,3.1628438774980205,3.18103152433467,1.7006876794878827,1.0416827939377105,1.4793429099684359,0.6886738009476735,0.8045440611987119,0.8098512380005871,2.0234002369143087
