thermal_demand;electricity_price;co2_price;gas_price
2.772825367;50.05;82.25;70.807
2.776139967;41.33;82.25;70.807
2.757685751;43.22;82.25;70.807
2.724550442;45.46;82.25;70.807
2.726671436;37.67;82.25;70.807
2.74557003;39.7;82.25;70.807
2.709712958;40.59;82.25;70.807
2.762904233;43.26;82.25;70.807
2.834564835;49.66;82.25;70.807
3.051133602;70.05;82.25;70.807
3.075689947;76.79;82.25;70.807
3.230342792;84.1;82.25;70.807
3.251752197;94.74;82.25;70.807
3.433626253;96.8;82.25;70.807
3.35019445;97.17;82.25;70.807
3.355613288;101;82.25;70.807
3.412495485;126.6;82.25;70.807
3.196653191;149.97;82.25;70.807
3.230493471;146.33;82.25;70.807
3.085737869;140.28;82.25;70.807
3.265979469;121.88;82.25;70.807
3.202988559;102.61;82.25;70.807
3.104905044;97.46;82.25;70.807
3.071580365;85.16;82.25;70.807
3.057204569;57.08;82.25;70.807
2.99164389;52.59;82.25;70.807
2.971438292;48.97;82.25;70.807
2.896694902;34.94;82.25;70.807
2.893843939;29.56;82.25;70.807
2.911608972;33.97;82.25;70.807
2.977748888;34.52;82.25;70.807
3.03358787;41.8;82.25;70.807
3.000698386;48.95;82.25;70.807
3.102755836;60.01;82.25;70.807
3.039839088;70.09;82.25;70.807
3.012104982;66.26;82.25;70.807
2.880511217;64.54;82.25;70.807
2.883229337;46.96;82.25;70.807
2.813007209;40.01;82.25;70.807
2.850811883;29.11;82.25;70.807
2.936171159;32.76;82.25;70.807
2.764321542;42.97;82.25;70.807
2.91692453;60.96;82.25;70.807
2.893829852;60.94;82.25;70.807
3.030662326;54.12;82.25;70.807
2.914979324;46.16;82.25;70.807
2.834333821;46.29;82.25;70.807
2.744129753;32.93;82.25;70.807
2.659713232;0.31;82.25;70.807
2.590696005;-0.01;82.25;70.807
2.561273758;-0.07;82.25;70.807
2.592474622;-1.05;82.25;70.807
2.634843446;-1;82.25;70.807
2.810542673;0.32;82.25;70.807
3.004026072;37.55;82.25;70.807
3.190860489;88.76;82.25;70.807
3.176757126;122.93;82.25;70.807
3.195552122;110.17;82.25;70.807
3.063536541;93.38;82.25;70.807
3.078136871;90.73;82.25;70.807
2.976338163;82.37;82.25;70.807
3.078548093;80.9;82.25;70.807
3.093619939;80.99;82.25;70.807
3.225670998;98.05;82.25;70.807
3.285642287;123.51;82.25;70.807
3.081186747;148.49;82.25;70.807
3.119889605;138;82.25;70.807
3.072679749;117.64;82.25;70.807
3.255082169;117.71;82.25;70.807
3.108070221;95.95;82.25;70.807
3.05577145;105.68;82.25;70.807
2.944504006;95.26;82.25;70.807
2.859052313;103.7;82.25;70.807
2.757895764;108.27;82.25;70.807
2.695967534;105.92;82.25;70.807
2.648258085;103.41;82.25;70.807
2.729395894;102.71;82.25;70.807
2.986991609;114.23;82.25;70.807
3.210294016;156.91;82.25;70.807
3.547012442;182.64;82.25;70.807
3.598363467;178.91;82.25;70.807
3.764175727;190;82.25;70.807
3.666440211;189.88;82.25;70.807
3.785369285;182.42;82.25;70.807
3.741267647;182.46;82.25;70.807
3.715714265;179.59;82.25;70.807
3.613794765;179;82.25;70.807
3.581881377;180.93;82.25;70.807
3.608746246;166.69;82.25;70.807
3.461332575;189.88;82.25;70.807
3.552112409;184.94;82.25;70.807
3.492831778;178.99;82.25;70.807
3.755114196;156.12;82.25;70.807
3.646637093;140.92;82.25;70.807
3.431536189;137.92;82.25;70.807
3.248437045;97.56;82.25;70.807
3.158382541;105.31;82.25;91.338
3.08436095;97.29;82.25;91.338
3.041191437;84.5;82.25;91.338
3.031548141;75.38;82.25;91.338
3.089422719;79.11;82.25;91.338
3.167032669;94.79;82.25;91.338
3.260947559;99.16;82.25;91.338
3.428985806;101.15;82.25;91.338
3.458126866;129.56;82.25;91.338
3.593672374;113.37;82.25;91.338
3.622156048;94.43;82.25;91.338
3.700374403;98.1;82.25;91.338
3.606043899;95.68;82.25;91.338
3.761434082;96.8;82.25;91.338
3.725645952;107.32;82.25;91.338
3.707563197;119.48;82.25;91.338
3.782164588;137.28;82.25;91.338
3.665989242;148.09;82.25;91.338
3.75984546;139.88;82.25;91.338
3.593627885;135.75;82.25;91.338
3.666191204;119.93;82.25;91.338
3.631337327;98.09;82.25;91.338
3.721307677;118.71;82.25;91.338
3.622262736;99.68;82.25;91.338
3.610718216;99.85;82.25;92.598
3.557221905;101.32;82.25;92.598
3.543574287;110.01;82.25;92.598
3.532347726;111.55;82.25;92.598
3.604487356;123.37;82.25;92.598
3.677417207;149.94;82.25;92.598
3.722071349;185.92;82.25;92.598
3.862633953;228.25;82.25;92.598
4.099695018;228.92;82.25;92.598
4.384115681;212.9;82.25;92.598
4.348112705;215.5;82.25;92.598
4.519994227;231.9;82.25;92.598
4.429174118;226;82.25;92.598
4.414120716;209.2;82.25;92.598
4.277435537;216.06;82.25;92.598
4.264890857;230.77;82.25;92.598
4.274614119;245.95;82.25;92.598
4.145143054;274.11;82.25;92.598
4.276016485;273.44;82.25;92.598
4.222425548;245.48;82.25;92.598
4.262994434;226.14;82.25;92.598
4.184906839;208.31;82.25;92.598
4.115724464;178.75;82.25;92.598
4.105721297;124.7;82.25;92.598
3.993160676;128.92;82.25;94.548
3.864723152;118.4;82.25;94.548
3.874862882;103.01;82.25;94.548
3.856334748;101.91;82.25;94.548
3.911804493;101.98;82.25;94.548
3.94913018;114.99;82.25;94.548
3.990020623;140.19;82.25;94.548
4.166769098;152.64;82.25;94.548
4.238959811;160.97;82.25;94.548
4.4224468;161.85;82.25;94.548
4.358195714;161.37;82.25;94.548
4.411583239;166.06;82.25;94.548
4.251803299;166.54;82.25;94.548
4.26141272;166.04;82.25;94.548
4.202028545;169.43;82.25;94.548
4.227346818;189.7;82.25;94.548
4.22568916;201.97;82.25;94.548
3.993603913;243.11;82.25;94.548
4.011923123;253.81;82.25;94.548
3.797591712;237.05;82.25;94.548
3.894671041;224.33;82.25;94.548
3.751050418;213.81;82.25;94.548
3.550970422;185.94;82.25;94.548
3.436693453;148.32;82.25;94.548
3.335065251;164.17;82.25;90.886
3.299295833;152.83;82.25;90.886
3.242704354;166;82.25;90.886
3.218845427;160.86;82.25;90.886
3.293362352;160;82.25;90.886
3.500985944;154.3;82.25;90.886
3.737585154;166;82.25;90.886
3.952199992;182.91;82.25;90.886
3.760563082;215.89;82.25;90.886
3.752510579;231;82.25;90.886
3.655276662;228.95;82.25;90.886
3.697593658;215.39;82.25;90.886
3.621385023;206.68;82.25;90.886
3.65912067;185;82.25;90.886
3.650931111;169.52;82.25;90.886
3.721247338;162.8;82.25;90.886
3.782603223;161.34;82.25;90.886
3.691827168;189.9;82.25;90.886
3.832704072;170.71;82.25;90.886
3.805598239;140.23;82.25;90.886
3.868451594;102.54;82.25;90.886
3.678015671;102.18;82.25;90.886
3.527398716;102.29;82.25;90.886
3.369343626;90.05;82.25;90.886
3.268207627;85.03;82.25;90.886
3.24959112;84.4;82.25;90.886
3.19713231;80.24;82.25;90.886
3.189344616;55.46;82.25;90.886
3.177252801;49.29;82.25;90.886
3.309343913;50.64;82.25;90.886
3.531238382;74.29;82.25;90.886
3.777630318;84.44;82.25;90.886
3.638934412;97.26;82.25;90.886
3.675177579;119.97;82.25;90.886
3.551204321;134.96;82.25;90.886
3.539523401;149.4;82.25;90.886
3.493360114;165.13;82.25;90.886
3.581099688;165.06;82.25;90.886
3.581046079;170.09;82.25;90.886
3.667306514;189.04;82.25;90.886
3.793343284;190.96;82.25;90.886
3.613218803;223.3;82.25;90.886
3.712089075;243.94;82.25;90.886
3.646907882;240;82.25;90.886
3.871125368;230.82;82.25;90.886
3.868576237;214.02;82.25;90.886
3.810011996;215.88;82.25;90.886
3.600792026;203.8;82.25;90.886
3.465790599;196.23;82.25;91.43
3.38582563;191.85;82.25;91.43
3.399357113;195.91;82.25;91.43
3.434068094;186.66;82.25;91.43
3.468502868;178.04;82.25;91.43
3.625499867;191.65;82.25;91.43
3.915133959;237.44;82.25;91.43
4.097304681;299.95;82.25;91.43
4.005177249;313.92;82.25;91.43
3.966237107;315;82.25;91.43
3.83636704;310.41;82.25;91.43
3.848125412;310.08;82.25;91.43
3.764250395;300;82.25;91.43
3.852336026;297.01;82.25;91.43
3.91749384;299.96;82.25;91.43
3.953852992;306.45;82.25;91.43
4.040657752;302.73;82.25;91.43
3.896461332;315.47;82.25;91.43
3.955199169;310.82;82.25;91.43
3.845411925;294.98;82.25;91.43
3.980980331;267.45;82.25;91.43
3.94962042;242.29;82.25;91.43
3.811228625;217.03;82.25;91.43
3.675218472;195.83;82.25;91.43
3.575892576;210.34;82.25;88.498
3.56651898;202.42;82.25;88.498
3.586249327;197.6;82.25;88.498
3.690416135;193;82.25;88.498
3.791604648;194.9;82.25;88.498
4.096274559;204.45;82.25;88.498
4.50383187;237.13;82.25;88.498
4.697670156;298.68;82.25;88.498
4.389318331;302.02;82.25;88.498
4.225976516;297.16;82.25;88.498
4.036338299;277.02;82.25;88.498
3.951929946;266.43;82.25;88.498
3.767473319;254.92;82.25;88.498
3.776515217;248.89;82.25;88.498
3.779182403;255.01;82.25;88.498
3.911655992;277.9;82.25;88.498
4.06603707;289.94;82.25;88.498
3.959135954;316.4;82.25;88.498
4.077131032;315.9;82.25;88.498
3.905559809;309.2;82.25;88.498
4.046493873;285.33;82.25;88.498
3.965839141;245.44;82.25;88.498
3.790919002;237.27;82.25;88.498
3.557131339;212.49;82.25;88.498
3.380336302;196.65;82.25;82.675
3.312143777;187.1;82.25;82.675
3.35076867;184.27;82.25;82.675
3.310918298;179.58;82.25;82.675
3.361351594;178.33;82.25;82.675
3.504885293;193.5;82.25;82.675
3.880252073;240.56;82.25;82.675
4.189173945;273.18;82.25;82.675
4.113464617;300.1;82.25;82.675
4.141946298;292.74;82.25;82.675
4.003301755;275.5;82.25;82.675
3.964824463;258.65;82.25;82.675
3.815489418;245.11;82.25;82.675
3.891769021;232.08;82.25;82.675
3.879378872;234.77;82.25;82.675
3.874689763;240.01;82.25;82.675
3.935743271;255;82.25;82.675
3.778211838;284.82;82.25;82.675
3.883277628;285.97;82.25;82.675
3.732842544;269.03;82.25;82.675
3.789713592;235.25;82.25;82.675
3.618670815;191.5;82.25;82.675
3.371592173;193.69;82.25;82.675
3.197105699;172.18;82.25;82.675
3.087804067;173.14;82.25;79.105
3.021588015;161.69;82.25;79.105
2.989487033;153.58;82.25;79.105
2.962360476;147.07;82.25;79.105
2.993627093;152.47;82.25;79.105
3.10144894;171.26;82.25;79.105
3.177484656;192.03;82.25;79.105
3.353543583;215.24;82.25;79.105
3.470072104;235.9;82.25;79.105
3.671583497;219.99;82.25;79.105
3.724018232;180.08;82.25;79.105
3.809829764;170.16;82.25;79.105
3.722854275;152.53;82.25;79.105
3.683167369;134.13;82.25;79.105
3.52108676;171.01;82.25;79.105
3.541332081;201.59;82.25;79.105
3.646809974;205.38;82.25;79.105
3.423892736;220.3;82.25;79.105
3.454225431;212.76;82.25;79.105
3.347022024;210;82.25;79.105
3.420391131;192.69;82.25;79.105
3.297065369;164.46;82.25;79.105
3.222086496;164.2;82.25;79.105
3.099364871;122.09;82.25;79.105
2.998690741;120.04;82.25;79.105
2.917171708;110.03;82.25;79.105
2.895454425;108.24;82.25;79.105
2.867243346;107.46;82.25;79.105
2.875766037;109.82;82.25;79.105
2.894945821;140.52;82.25;79.105
2.899285773;176.04;82.25;79.105
3.092526358;190.97;82.25;79.105
3.367933634;216.99;82.25;79.105
3.755288146;196.91;82.25;79.105
3.85676512;162.92;82.25;79.105
3.748967591;160.04;81.7;79.105
3.576714221;154.01;81.52;79.105
3.814123339;152.29;81.52;79.105
3.794514394;186.94;81.52;79.105
3.914384668;217.18;81.52;79.105
4.00779123;224.91;81.52;79.105
3.882876642;262;81.52;79.105
3.971466617;260.04;81.52;79.105
3.892175463;234.32;81.52;79.105
4.024772512;215.04;81.52;79.105
3.915371036;204.39;81.52;79.105
3.823331282;194.29;81.52;79.105
3.618277853;184.9;81.52;79.105
3.494574764;222.01;81.52;89.824
3.396055715;205.08;81.52;89.824
3.393350864;194.62;81.52;89.824
3.434088064;182.64;81.52;89.824
3.572710169;187.83;81.52;89.824
3.898048273;190.58;81.52;89.824
4.14087307;190.27;81.52;89.824
4.213799467;204.46;81.52;89.824
4.061144314;212.84;81.52;89.824
4.196588663;230;81.52;89.824
4.034064426;222.39;81.52;89.824
3.948696516;214.92;81.52;89.824
3.901436846;208.43;81.52;89.824
4.067405334;200;81.52;89.824
3.986416352;203.09;81.52;89.824
4.012737012;213.98;81.52;89.824
4.124630637;226.32;81.52;89.824
4.042764618;260;81.52;89.824
4.111177722;267.03;81.52;89.824
3.994573052;261.41;81.52;89.824
4.11843459;243.62;81.52;89.824
4.005544361;220.1;81.52;89.824
3.774008709;212.85;81.52;89.824
3.601986284;209.41;81.52;89.824
3.469596948;225.92;81.52;89.824
3.374374167;216;81.52;89.824
3.287743132;189.49;81.52;89.824
3.210885374;181.98;81.52;89.824
3.202474745;174.98;81.52;89.824
3.349025768;165.91;81.52;89.824
3.531848959;118.71;81.52;89.824
3.640454098;119.45;81.52;89.824
3.394829318;125.86;81.52;89.824
3.489686562;129.46;81.52;89.824
3.461479039;125.99;81.52;89.824
3.502930115;131.83;81.52;89.824
3.414923914;123.01;81.52;89.824
3.599086789;122.49;81.52;89.824
3.649089353;102.67;81.52;89.824
3.65728255;121.95;81.52;89.824
3.600252389;115;81.52;89.824
3.388728419;125.42;81.52;89.824
3.525848841;112.4;81.52;89.824
3.496379625;97.49;81.52;89.824
3.722116596;90.14;81.52;89.824
3.701466149;97.09;81.52;89.824
3.556570592;93.85;81.52;89.824
3.382998971;87.2;81.52;89.824
3.29261415;78.08;81.52;90.021
3.231372789;34;81.52;90.021
3.256795919;12.33;81.52;90.021
3.301473154;10.09;81.52;90.021
3.45617498;12.83;81.52;90.021
3.775261358;36.16;81.52;90.021
4.058734238;92.03;81.52;90.021
4.201164716;102.8;81.52;90.021
4.076930635;126;81.52;90.021
4.024452528;100.9;81.52;90.021
3.815724971;112.03;81.52;90.021
3.717360915;111.25;81.52;90.021
3.615296079;100.58;81.52;90.021
3.785162705;111.65;81.52;90.021
3.850283742;127.38;81.52;90.021
4.001382729;168.85;81.52;90.021
4.09103514;199.85;81.52;90.021
4.046511879;249.99;81.52;90.021
4.209908836;254.37;81.52;90.021
4.125786984;237.28;81.52;90.021
