thermal_demand;electricity_price;co2_price;gas_price
0.586061603;50.05;82.25;70.807
0.586735777;41.33;82.25;70.807
0.582982274;43.22;82.25;70.807
0.576242702;45.46;82.25;70.807
0.576674103;37.67;82.25;70.807
0.580517991;39.7;82.25;70.807
0.573224825;40.59;82.25;70.807
0.584043689;43.26;82.25;70.807
0.59861913;49.66;82.25;70.807
0.642668234;70.05;82.25;70.807
0.647662883;76.79;82.25;70.807
0.679118569;84.1;82.25;70.807
0.683473145;94.74;82.25;70.807
0.720465502;96.8;82.25;70.807
0.703495852;97.17;82.25;70.807
0.704598019;101;82.25;70.807
0.716167599;126.6;82.25;70.807
0.672266257;149.97;82.25;70.807
0.679149216;146.33;82.25;70.807
0.649706584;140.28;82.25;70.807
0.686366907;121.88;82.25;70.807
0.673554842;102.61;82.25;70.807
0.653605101;97.46;82.25;70.807
0.646827012;85.16;82.25;70.807
0.643903041;57.08;82.25;70.807
0.630568296;52.59;82.25;70.807
0.62645857;48.97;82.25;70.807
0.611256104;34.94;82.25;70.807
0.610676231;29.56;82.25;70.807
0.614289558;33.97;82.25;70.807
0.627742116;34.52;82.25;70.807
0.639099511;41.8;82.25;70.807
0.63240994;48.95;82.25;70.807
0.653167962;60.01;82.25;70.807
0.640370981;70.09;82.25;70.807
0.63472999;66.26;82.25;70.807
0.607964415;64.54;82.25;70.807
0.608517269;46.96;82.25;70.807
0.594234407;40.01;82.25;70.807
0.601923706;29.11;82.25;70.807
0.619285395;32.76;82.25;70.807
0.584331963;42.97;82.25;70.807
0.615370718;60.96;82.25;70.807
0.610673365;60.94;82.25;70.807
0.638504469;54.12;82.25;70.807
0.614975072;46.16;82.25;70.807
0.598572143;46.29;82.25;70.807
0.580225045;32.93;82.25;70.807
0.563055108;0.31;82.25;70.807
0.549017318;-0.01;82.25;70.807
0.543032966;-0.07;82.25;70.807
0.54937908;-1.05;82.25;70.807
0.557996707;-1;82.25;70.807
0.593733131;0.32;82.25;70.807
0.633086776;37.55;82.25;70.807
0.671088048;88.76;82.25;70.807
0.668219488;122.93;82.25;70.807
0.672042305;110.17;82.25;70.807
0.645190935;93.38;82.25;70.807
0.648160576;90.73;82.25;70.807
0.627455181;82.37;82.25;70.807
0.648244217;80.9;82.25;70.807
0.651309762;80.99;82.25;70.807
0.678168347;98.05;82.25;70.807
0.690366235;123.51;82.25;70.807
0.648780907;148.49;82.25;70.807
0.656652892;138;82.25;70.807
0.647050622;117.64;82.25;70.807
0.684150446;117.71;82.25;70.807
0.654248883;95.95;82.25;70.807
0.643611551;105.68;82.25;70.807
0.620980258;95.26;82.25;70.807
0.603599772;103.7;82.25;70.807
0.583024989;108.27;82.25;70.807
0.570429069;105.92;82.25;70.807
0.560725183;103.41;82.25;70.807
0.577228245;102.71;82.25;70.807
0.629622044;114.23;82.25;70.807
0.675040739;156.91;82.25;70.807
0.743527738;182.64;82.25;70.807
0.753972303;178.91;82.25;70.807
0.787697763;190;82.25;70.807
0.767818803;189.88;82.25;70.807
0.792008437;182.42;82.25;70.807
0.783038364;182.46;82.25;70.807
0.777840922;179.59;82.25;70.807
0.757110959;179;82.25;70.807
0.750619921;180.93;82.25;70.807
0.756084113;166.69;82.25;70.807
0.726100842;189.88;82.25;70.807
0.744565048;184.94;82.25;70.807
0.732507637;178.99;82.25;70.807
0.785854689;156.12;82.25;70.807
0.763790939;140.92;82.25;70.807
0.720040392;137.92;82.25;70.807
0.682798858;97.56;82.25;70.807
0.664482181;105.31;82.25;91.338
0.649426525;97.29;82.25;91.338
0.640646042;84.5;82.25;91.338
0.63868464;75.38;82.25;91.338
0.650456066;79.11;82.25;91.338
0.666241578;94.79;82.25;91.338
0.68534344;99.16;82.25;91.338
0.719521656;101.15;82.25;91.338
0.725448815;129.56;82.25;91.338
0.753018156;113.37;82.25;91.338
0.758811606;94.43;82.25;91.338
0.774720864;98.1;82.25;91.338
0.755534468;95.68;82.25;91.338
0.787140125;96.8;82.25;91.338
0.779860982;107.32;82.25;91.338
0.776183032;119.48;82.25;91.338
0.791356616;137.28;82.25;91.338
0.767727078;148.09;82.25;91.338
0.786817007;139.88;82.25;91.338
0.753009107;135.75;82.25;91.338
0.767768157;119.93;82.25;91.338
0.760679036;98.09;82.25;91.338
0.778978597;118.71;82.25;91.338
0.758833306;99.68;82.25;91.338
0.756485203;99.85;82.25;92.598
0.745604296;101.32;82.25;92.598
0.742828432;110.01;82.25;92.598
0.740545001;111.55;82.25;92.598
0.755217874;123.37;82.25;92.598
0.770051475;149.94;82.25;92.598
0.779133924;185.92;82.25;92.598
0.807723719;228.25;82.25;92.598
0.855940863;228.92;82.25;92.598
0.913790735;212.9;82.25;92.598
0.906467893;215.5;82.25;92.598
0.941427814;231.9;82.25;92.598
0.922955416;226;82.25;92.598
0.919893622;209.2;82.25;92.598
0.892092478;216.06;82.25;92.598
0.889540947;230.77;82.25;92.598
0.891518614;245.95;82.25;92.598
0.865184788;274.11;82.25;92.598
0.891803849;273.44;82.25;92.598
0.880903696;245.48;82.25;92.598
0.889155223;226.14;82.25;92.598
0.873272561;208.31;82.25;92.598
0.85920118;178.75;82.25;92.598
0.857166581;124.7;82.25;92.598
0.834272262;128.92;82.25;94.548
0.808148653;118.4;82.25;94.548
0.810211028;103.01;82.25;94.548
0.80644249;101.91;82.25;94.548
0.817724784;101.98;82.25;94.548
0.825316659;114.99;82.25;94.548
0.83363359;140.19;82.25;94.548
0.869583427;152.64;82.25;94.548
0.88426669;160.97;82.25;94.548
0.92158711;161.85;82.25;94.548
0.908518731;161.37;82.25;94.548
0.919377511;166.06;82.25;94.548
0.886878997;166.54;82.25;94.548
0.88883351;166.04;82.25;94.548
0.876755038;169.43;82.25;94.548
0.88190466;189.7;82.25;94.548
0.8815675;201.97;82.25;94.548
0.834362415;243.11;82.25;94.548
0.838088459;253.81;82.25;94.548
0.794494423;237.05;82.25;94.548
0.814239918;224.33;82.25;94.548
0.785028135;213.81;82.25;94.548
0.744332773;185.94;82.25;94.548
0.721089356;148.32;82.25;94.548
0.700418642;164.17;82.25;90.886
0.693143304;152.83;82.25;90.886
0.681632855;166;82.25;90.886
0.676780057;160.86;82.25;90.886
0.691936461;160;82.25;90.886
0.734166157;154.3;82.25;90.886
0.782289362;166;82.25;90.886
0.825941045;182.91;82.25;90.886
0.786962968;215.89;82.25;90.886
0.785325125;231;82.25;90.886
0.765548188;228.95;82.25;90.886
0.774155273;215.39;82.25;90.886
0.758654783;206.68;82.25;90.886
0.766330042;185;82.25;90.886
0.764664323;169.52;82.25;90.886
0.778966324;162.8;82.25;90.886
0.791445832;161.34;82.25;90.886
0.772982395;189.9;82.25;90.886
0.801636118;170.71;82.25;90.886
0.796122914;140.23;82.25;90.886
0.808907001;102.54;82.25;90.886
0.770173199;102.18;82.25;90.886
0.739538395;102.29;82.25;90.886
0.707390707;90.05;82.25;90.886
0.686820104;85.03;82.25;90.886
0.683033591;84.4;82.25;90.886
0.672363708;80.24;82.25;90.886
0.670779726;55.46;82.25;90.886
0.668320306;49.29;82.25;90.886
0.695187038;50.64;82.25;90.886
0.740319365;74.29;82.25;90.886
0.790434366;84.44;82.25;90.886
0.762224249;97.26;82.25;90.886
0.769595944;119.97;82.25;90.886
0.744380347;134.96;82.25;90.886
0.742004501;149.4;82.25;90.886
0.732615098;165.13;82.25;90.886
0.750460929;165.06;82.25;90.886
0.750450025;170.09;82.25;90.886
0.767995005;189.04;82.25;90.886
0.793630312;190.96;82.25;90.886
0.756993811;223.3;82.25;90.886
0.777103575;243.94;82.25;90.886
0.763846016;240;82.25;90.886
0.809450835;230.82;82.25;90.886
0.808932353;214.02;82.25;90.886
0.797020652;215.88;82.25;90.886
0.754466261;203.8;82.25;90.886
0.727007584;196.23;82.25;91.43
0.710743072;191.85;82.25;91.43
0.713495314;195.91;82.25;91.43
0.72055537;186.66;82.25;91.43
0.727559247;178.04;82.25;91.43
0.759491723;191.65;82.25;91.43
0.818401982;237.44;82.25;91.43
0.85545468;299.95;82.25;91.43
0.836716378;313.92;82.25;91.43
0.82879613;315;82.25;91.43
0.802381149;310.41;82.25;91.43
0.804772748;310.08;82.25;91.43
0.787712951;300;82.25;91.43
0.805629168;297.01;82.25;91.43
0.818881971;299.96;82.25;91.43
0.826277258;306.45;82.25;91.43
0.843932952;302.73;82.25;91.43
0.814604055;315.47;82.25;91.43
0.826551064;310.82;82.25;91.43
0.804220837;294.98;82.25;91.43
0.831794835;267.45;82.25;91.43
0.825416372;242.29;82.25;91.43
0.797268109;217.03;82.25;91.43
0.769604262;195.83;82.25;91.43
0.749401826;210.34;82.25;88.498
0.747495279;202.42;82.25;88.498
0.751508342;197.6;82.25;88.498
0.772695397;193;82.25;88.498
0.793276681;194.9;82.25;88.498
0.855245158;204.45;82.25;88.498
0.938140464;237.13;82.25;88.498
0.977566291;298.68;82.25;88.498
0.91484893;302.02;82.25;88.498
0.881625947;297.16;82.25;88.498
0.843054395;277.02;82.25;88.498
0.825886119;266.43;82.25;88.498
0.788368479;254.92;82.25;88.498
0.79020756;248.89;82.25;88.498
0.790750053;255.01;82.25;88.498
0.81769458;277.9;82.25;88.498
0.84909499;289.94;82.25;88.498
0.827351788;316.4;82.25;88.498
0.851351451;315.9;82.25;88.498
0.816454644;309.2;82.25;88.498
0.845119992;285.33;82.25;88.498
0.828715186;245.44;82.25;88.498
0.793137224;237.27;82.25;88.498
0.745585875;212.49;82.25;88.498
0.709626568;196.65;82.25;82.675
0.695756518;187.1;82.25;82.675
0.703612646;184.27;82.25;82.675
0.695507261;179.58;82.25;82.675
0.705765164;178.33;82.25;82.675
