thermal_demand;electricity_price;co2_price;gas_price
0.576714824;50.05;82.25;70.807
0.577404222;41.33;82.25;70.807
0.573565963;43.22;82.25;70.807
0.566674212;45.46;82.25;70.807
0.567115353;37.67;82.25;70.807
0.571046037;39.7;82.25;70.807
0.563588191;40.59;82.25;70.807
0.574651346;43.26;82.25;70.807
0.589555902;49.66;82.25;70.807
0.63459964;70.05;82.25;70.807
0.639707068;76.79;82.25;70.807
0.671873028;84.1;82.25;70.807
0.67632593;94.74;82.25;70.807
0.714153579;96.8;82.25;70.807
0.696800753;97.17;82.25;70.807
0.697927807;101;82.25;70.807
0.70975863;126.6;82.25;70.807
0.66486599;149.97;82.25;70.807
0.671904367;146.33;82.25;70.807
0.641796917;140.28;82.25;70.807
0.679285034;121.88;82.25;70.807
0.666183672;102.61;82.25;70.807
0.645783462;97.46;82.25;70.807
0.638852324;85.16;82.25;70.807
0.635862329;57.08;82.25;70.807
0.622226484;52.59;82.25;70.807
0.618023959;48.97;82.25;70.807
0.60247822;34.94;82.25;70.807
0.601885253;29.56;82.25;70.807
0.60558017;33.97;82.25;70.807
0.619336489;34.52;82.25;70.807
0.630950335;41.8;82.25;70.807
0.624109712;48.95;82.25;70.807
0.645336453;60.01;82.25;70.807
0.632250515;70.09;82.25;70.807
0.626482149;66.26;82.25;70.807
0.599112205;64.54;82.25;70.807
0.599677542;46.96;82.25;70.807
0.585072171;40.01;82.25;70.807
0.592935095;29.11;82.25;70.807
0.610688814;32.76;82.25;70.807
0.574946129;42.97;82.25;70.807
0.606685743;60.96;82.25;70.807
0.601882323;60.94;82.25;70.807
0.630341857;54.12;82.25;70.807
0.606281163;46.16;82.25;70.807
0.589507854;46.29;82.25;70.807
0.570746476;32.93;82.25;70.807
0.55318884;0.31;82.25;70.807
0.538834075;-0.01;82.25;70.807
0.532714596;-0.07;82.25;70.807
0.539204006;-1.05;82.25;70.807
0.548016219;-1;82.25;70.807
0.584559577;0.32;82.25;70.807
0.624801832;37.55;82.25;70.807
0.663661177;88.76;82.25;70.807
0.660727844;122.93;82.25;70.807
0.664636981;110.17;82.25;70.807
0.637179304;93.38;82.25;70.807
0.640216;90.73;82.25;70.807
0.619043074;82.37;82.25;70.807
0.640301529;80.9;82.25;70.807
0.643436294;80.99;82.25;70.807
0.67090135;98.05;82.25;70.807
0.683374668;123.51;82.25;70.807
0.640850338;148.49;82.25;70.807
0.648900074;138;82.25;70.807
0.639080983;117.64;82.25;70.807
0.677018525;117.71;82.25;70.807
0.646441782;95.95;82.25;70.807
0.635564257;105.68;82.25;70.807
0.612421947;95.26;82.25;70.807
0.594649007;103.7;82.25;70.807
0.573609644;108.27;82.25;70.807
0.560729305;105.92;82.25;70.807
0.550806305;103.41;82.25;70.807
0.567682008;102.71;82.25;70.807
0.621258865;114.23;82.25;70.807
0.66770312;156.91;82.25;70.807
0.737736563;182.64;82.25;70.807
0.748416968;178.91;82.25;70.807
0.782903954;190;82.25;70.807
0.762576124;189.88;82.25;70.807
0.787311963;182.42;82.25;70.807
0.778139344;182.46;82.25;70.807
0.772824544;179.59;82.25;70.807
0.751626495;179;82.25;70.807
0.744988889;180.93;82.25;70.807
0.750576463;166.69;82.25;70.807
0.719916166;189.88;82.25;70.807
0.738797296;184.94;82.25;70.807
0.726467627;178.99;82.25;70.807
0.781019262;156.12;82.25;70.807
0.75845731;140.92;82.25;70.807
0.713718871;137.92;82.25;70.807
0.675636418;97.56;82.25;70.807
0.656906148;105.31;82.25;91.338
0.641510534;97.29;82.25;91.338
0.632531787;84.5;82.25;91.338
0.630526096;75.38;82.25;91.338
0.642563322;79.11;82.25;91.338
0.658705272;94.79;82.25;91.338
0.678238457;99.16;82.25;91.338
0.713188421;101.15;82.25;91.338
0.719249417;129.56;82.25;91.338
0.747441276;113.37;82.25;91.338
0.753365543;94.43;82.25;91.338
0.769634034;98.1;82.25;91.338
0.750014407;95.68;82.25;91.338
0.782333724;96.8;82.25;91.338
0.774890217;107.32;82.25;91.338
0.771129218;119.48;82.25;91.338
0.786645424;137.28;82.25;91.338
0.762482328;148.09;82.25;91.338
0.782003309;139.88;82.25;91.338
0.747432023;135.75;82.25;91.338
0.762524334;119.93;82.25;91.338
0.75527514;98.09;82.25;91.338
0.773987907;118.71;82.25;91.338
0.753387733;99.68;82.25;91.338
0.750986609;99.85;82.25;92.598
0.739860011;101.32;82.25;92.598
0.737021468;110.01;82.25;92.598
0.734686476;111.55;82.25;92.598
0.749690664;123.37;82.25;92.598
0.764859209;149.94;82.25;92.598
0.774146742;185.92;82.25;92.598
0.803382098;228.25;82.25;92.598
0.852687991;228.92;82.25;92.598
0.911844119;212.9;82.25;92.598
