snapshot,consumers-0,consumers-1,consumers-2,consumers-3,consumers-4
0,1550.544902986887,1546.998095474522,1046,2540.296,1607.057235406463
1,141.0590407627935,164.7871298930483,131,237.45,144.1205672618526
2,89.1049427832723,119.5775388613809,65,152.004,87.68048884817
